Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Eau minérale 250ml DELICE,DÉLICE,Le goblet de 250ml,"0,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/e/a/eau-d_lice.jpg
Eau gazéifiée fraise Déli'O,DÉLICE,La bouteille de 25cl,"0,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534803565.jpg
Eau minérale DENYA 2L,DENYA,La bouteille de 2L,"0,760",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191466400030.jpg
Eau minérale MARWA 0.75L,MARWA,La bouteille de 0.75L,"0,450",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194001800746_2.jpg
Eau minérale PRISTINE 2L,PRISTINE,La bouteille de 2L,"0,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191467300049.jpg
Eau minérale CRISTALINE 2L,CRISTALINE,La bouteille de 2L,"0,780",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194001801101.jpg
Eau minérale MAY TUNISIA 1.5L,MAY TUNISIA,La bouteille de 1.5L,"0,630",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191417200047.jpg
Eau minérale DENYA 2.25L,DENYA,La bouteille de 2.25L,"0,780",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191466400092_1.jpg
Eau minérale MIRA 1.5L,MIRA,La bouteille de 1.5L,"0,620",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191428900080_1.jpg
Eau minérale DENYA 1.75L,DENYA,La bouteille de 1.75L,"0,670",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191466400108.jpg
Eau minérale MIRA de 0.95L,MIRA,La bouteille de 0.95L,"0,610",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191428900103.jpg
Eau minérale AQUALINE 1L,AQUALINE,La bouteille de 1L,"0,560",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191556500084-1.jpg
Eau minérale PALMA 2L,PALMA,La bouteille de 2L,"0,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191599900032-1_3_1.jpg
Eau minérale MIRA 2L,MIRA,La bouteille de 2L,"0,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191428900073-1_1_1.jpg
Eau minérale DENYA 0.5L,DENYA,La bouteille de 0.5L,"0,430",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191466400023-1_1.jpg
Eau gazéifiée naturelle GARCI 1L,GARCI,La bouteille de 1L,"0,590",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194001800531-1_1_2.jpg
Eau minérale MIRA 0.6L,MIRA,La bouteille de 0.6L,"0,370",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191428900097-1_4.jpg
Eau minérale JANNET 2L,JANNET,La bouteille de 2L,"0,830",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534200081-1_1.jpg
Eau minérale PRIMAQUA 19L,PRIMAQUA,La bombonne de 19L avec consigne,"15,950",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/3/3/3313-1.jpg
Eau gazéifiée ananas Déli'O,DÉLICE,La bouteille de 25cl,"0,880",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534802896-1_1.jpg
Eau minérale DÉLICE 1.5L,DÉLICE,La bouteille de 1.5L,"0,670",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191496000026-1_1.jpg
Eau minérale DÉLICE 0.5L,DÉLICE,La bouteille de 0.5L,"0,470",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191496000019-1_1.jpg
Eau minérale SAFIA 0.5L,SAFIA,La bouteille de 0.5L,"0,390",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194001800555_5.jpg
"Eau minérale MAIN 0,5L",MAIN,La bouteille de 0.5L,"0,365",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191544700021-1_1.jpg
Eau minérale PRIMAQUA 19L,PRIMAQUA,La bombonne de 19L sans consigne,"5,350",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2010100036753-1.jpg
