Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Pate de sésame,EL ZAYETTE,Le pot de 500g,"7,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191452701073.jpg
Pistache moulue,,au kg,"80,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828993000000.jpg
Pistache import,,au kg,"97,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822115000000.jpg
Noix en coque californie,,au kg,"27,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828965000000-removebg-preview.jpg
Noix de pecan décortiquée,,au kg,"71,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2823022000000.jpg
Noix de coco moelleux,,au kg,"42,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824747000000.jpg
Noix de brésil décortiquée,,au kg,"56,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828949000000.jpg
Noix de brésil,,au kg,"51,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2827340000000.jpg
Noix coco râpée,,au kg,"22,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828179000000.jpg
Noisette moulue,,au kg,"57,100",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828995000000.jpg
Noisette en coque,,au kg,"18,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2823476000000.jpg
Amande rouge parlez,,au kg,"41,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828094000000.jpg
Amande rouge moulue,,au kg,"39,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828095000000.jpg
Amande effilée,,au kg,"47,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822730000000.jpg
Amande blanchie moulue,,au kg,"32,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828767000000.jpg
Amande achek,,au kg,"62,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828194000000.jpg
