Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Orange chemi,,Au kg,"2,070",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800039000000.jpg
Orange double fine,,Au kg,"2,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2812030000000.jpg
Myrtille,,La barquette de 125g  ,"7,475",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191412900744.jpg
Thomson sanguine,,,"2,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824173000000.jpg
Thomson B,,,"1,590",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800065000000.jpg
Orange Moro,,,"4,025",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824693000000.jpg
Mandarine Murkott,,,"3,450",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2823569000000.jpg
Dattes branchées,FKE,Le paquet de 500g,"3,490",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191440000041.jpg
Orange maltaise,,Au kg,"2,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800025000000.jpg
Fraises en barquette,,Au kg,"6,325",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856862000000.jpg
Fraise Camarosa,,Au Kg,"3,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822648000000.jpg
Clémentine marisol,,Au kg,"2,070",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822613000000.jpg
Fraise,,La boite de 250g,"2,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191467500074.jpg
"Orange Navel ""AA""",,Au Kg,"3,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800034000000.jpg
Pomme golden,,Au Kg,"4,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2815050000000.jpg
Pomme délicieuse,,Au Kg,"3,450",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2816410000000.jpg
Pomme rouge,,Au Kg,"4,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824575000000.jpg
Pomme rouge,,Au Kg,"4,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2821933000000.jpg
"Grenade à jus ""B""",,Au Kg,"0,950",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824760000000.jpg
Thomson A,,,"2,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800029000000.jpg
Pomme rouge GC,,Au Kg,"4,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824994000000.jpg
Pomme one AA,,,"5,175",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2825017000000.jpg
Pomme red one,,,"4,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2849320000000.jpg
Pomme golden AA,,,"5,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856057000000.jpg
Pomme gala A,,,"3,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856786000000.jpg
