Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Boisson au jus Relax,DELICE,La brique de 75 cl,"2,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534803633.jpg
Boisson au jus de mangue STIL,STIL,La brique de 2L,"4,850",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194001801545.jpg
Boisson au jus d'orange,BEYTI,La brique de 1L,"6,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6223001875741_1.jpg
Boisson au jus de mangue,BEYTI,La brique de 1L,"6,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6223001875802_1.jpg
Jus d'orange sanguine,SANTAL,Le paquet de 1L,"9,100",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8002580028025.jpg
Jus de poire,SANTAL,Le paquet de 1L,"9,100",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8002580028049.jpg
Boisson au jus de pomme,ALMARAI,La brique de 1L,"9,280",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6223007520737.jpg
Boisson au jus d'orange,ALMARAI,La brique de 1L,"9,280",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6223007520751.jpg
Boisson au jus de mangue,ALMARAI,La brique de 1L,"9,280",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6223007520720.jpg
Boisson au jus de pomme confort,DÉLICE DE FRUITS,La brique de 750ml,"2,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534803329.jpg
Boisson au Jus cocktail exotique relax,DÉLICE DE FRUITS,La brique de 750ml,"2,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534803336.jpg
Boisson au jus d'ananas,LA FRUITIERE,La bouteille de 250ml,"3,100",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191402602054.jpg
Boisson au jus de pêche,LA FRUITIERE,La bouteille de 250ml,"3,050",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191402602047.jpg
Boisson instantanée fraise,SANGO,Le sachet de 30g,"0,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191402902062.jpg
Nectar au raisin rouge de 1L,VITRAC,La brique de 1L,"5,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6221024992742.jpg
Nectar d'orange de 1L,VITRAC,La brique de 1L,"5,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6221024240126-1_2.jpg
Nectar à la mangue de 1L,VITRAC,La brique de 1L,"5,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6221024240102_1.jpg
Nectar de goyave de 1L,VITRAC,La brique de 1L,"5,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6221024240119png.jpg
