Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Fève,,Au Kg,"5,100",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811185000000-1.jpg
Févettes,,Au Kg,"3,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828115000000.jpg
Graines de sésame doré,,Au Kg,"16,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800566000000.jpg
Lentilles décortiquées,,Au Kg,"7,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811180000000.jpg
Maïs,,Au Kg,"4,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811181000000_1.jpg
Fèves,,Au Kg,"1,955",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800697000000.jpg
Pois chiche,,Au Kg,"9,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811184000000.jpg
Lentille verte,,Au Kg,"7,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828172000000.jpg
Haricot Lingot,,Au Kg,"6,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828166000000.jpg
Lentille trempée,FRESH AGRI,Le sachet de 150g,"4,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191430600510-1_1_1.jpg
Pois chiches en grain,EL DHAWAKA,Le sachet de 500g,"8,090",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194023500556-1_1.jpg
Lentilles rouges,REINE DES GRAINES,Le paquet de 750g,"10,490",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191446700044-1.jpg
Lentilles vertes,REINE DES GRAINES,Le paquet de 750g,"10,090",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191446700037_-1.jpg
Haricots,EL DHAWAKA,Le sachet de 500g,"6,690",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194023500518-1.jpg
Pois chiches,REINE DES GRAINES,Le paquet de 750g,"11,890",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191446700020-1_1_1.jpg
Haricots blancs,REINE DES GRAINES,Le paquet de 750g,"9,690",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191446700013_-1.jpg
