Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Tomate ronde,,Au Kg,"1,590",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/t/o/tomate_ronde_2800224000000.png
Carottes sans fanes,ORTHO,La barquette de 500g,"2,350",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191430600152.jpg
Asperge,,La botte de 350g,"5,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191419900044.jpg
Ciboulette,,La barquette,"3,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2022220045195.jpg
Romarain,,La botte,"1,955",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2022220050151.jpg
Thym,,La botte,"1,955",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2022220050144.jpg
Artichaut romanosca,,La botte,"2,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2056560007599.jpg
Tomate cocktail gourmet,,La barquette de 400g,"1,610",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191539300472.jpg
Tomate cerise Bicolore,,La barquette de 350g,"3,795",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191539300304.jpg
Artichaut blanc,,Au Kg,"1,725",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2056560001146.jpg
Piment de Cayenne,,Au kg,"5,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2801158000000.jpg
Epinard en Botte,,,"0,850",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2022220016546.jpg
Mini Cornichon,,,"1,150",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2812270000000.jpg
Verveine en Botte,,,"2,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191506901091.jpg
Oignon rouge en barquette,LE CHAMPS,La barquette de 400g,"4,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191493700554_1.jpg
Fenouil avec fane,,Au Kg,"1,610",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856868000000.jpg
Tomate cerise,,Au Kg,"2,875",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822236000000_1.jpg
Gombo,,Au Kg,"57,490",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2801166000000-1_2.jpg
