Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Olives turques,,,"5,040",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191542000406.jpg
Olive verte meski grosse,VETRAPA,Le bocal de 400g,"3,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191562602802.jpg
Olives vertes,RUSPINA,Le pot de 37cl,"4,360",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194061400535.jpg
Olive,,Au poids ( vendu à partir de 50g),"5,175",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856803000000_1.jpg
Variante de Légumes,,Au Kg,"5,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800380000000.jpg
Olives noir sel sec,,Au Kg,"20,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2802986000000.jpg
Torchi varie,,Au Kg,"7,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2814760000000.jpg
Olives vertes cassées pimentées,,Au Kg,"8,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800421000000.jpg
Olives à la sicilienne,,Au Kg,"11,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800406000000.jpg
Olives niçoise marinés,,Au Kg,"7,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2802842000000.jpg
Olives Sahli mariné,,Au Kg,"5,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822118000000.jpg
Citron salé,,Au Kg,"4,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828658000000.jpg
Olives marinées à la Marocaine,,Au Kg,"11,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800398000000.jpg
Olives Sahli,,Au Kg,"15,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828653000000.jpg
