Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Fusilli,REGGIA,Le paquet de 500g,"5,130",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8008857300481.jpg
Feuilles de brick malsouka,ESCHAMS,Le sachet de 10 pièces,"1,730",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194037850012.jpg
Päte chifferini lisci n°48,DIVELLA,Le sachet de 500g,"5,090",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8005121000481_1.jpg
Riz rond,ROZY,Le paquet de 1kg,"5,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191564601087_1.jpg
Nouilles aux légumes et au citron,INDOMIE,Le sachet de 70g,"0,830",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/5/2/5285000398417.jpg
Plumes n°1,L'EPI D'OR,Le paquet de 500g,"0,410",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194003310199_1.jpg
Penne ziti rigate,REGGIA,Le paquet de 500g,"4,610",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8008857300344.jpg
Tagliatelle,ORIGINAL PASTA FRESKA,Le paquet 250g,"5,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191465000057.jpg
Pâte rigatoni,DE CECCO,Le paquet de 500g,"12,180",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8001250014467.jpg
Pâte spaghetti,DE CECCO,Le paquet de 500g,"10,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8001250014382.jpg
Pâte tagliatelle,DE CECCO,Le paquet de 500g,"19,390",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8001250014429.jpg
Pâte farfalle,DE CECCO,Le paquet de 500g,"12,180",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8001250014481.jpg
Cannelloni,REGGIA,Le paquet de 250g,"6,430",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8008857601090.png
Pâte linguine n°7,DE CECCO,Le paquet de 500g,"10,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8001250014405.png
Riz basmati,CURTIRISO,Le sachet de 1kg,"12,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/8/0/8017759020038.png
Pâte à la chitarra,ORIGINAL PASTA FRESKA,Le paquet de 250g,"6,140",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191465000071.jpg
Nwasser,SENIATNA,Le paquet de 500g,"6,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191492100560.jpg
Feuilles de brick carrées,GAMRA,Le sachet de 12 pièces,"1,230",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194037810511.png
Tagliatelle n°2,L'EPI D'OR,Le paquet de 250g,"0,760",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194003310311.jpg
Spaghetti n°3,SANABEL CARTHAGE,Le paquet de 500g,"0,410",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191519400246.jpg
Chorba d'orge frais bio,EL FIRMA BIO,Le paquet de 500g,"5,555",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191455700325.jpg
Chorba d'orge bio,NAPOLIS,Le paquet de 500g,"7,480",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194041301395.jpg
