Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Chapelure,DELICE DE MARIEM,Le sachet de 100g,"1,040",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191580900058.jpg
Raisins secs,,Au Kg,"26,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824028000000.jpg
Sorgho au pin d'alep - zgougou,,Au Kg,"18,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2816100000000.jpg
Sorgho aux sésames,,Au Kg,"7,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828895000000.jpg
Mélange pour grillade,,Au Kg,"13,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828124000000.jpg
Poivre noir moulu,DHAWAKA,La boite de 50g,"2,490",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194023500648_1.jpg
Cumin moulu EL KHABIA,EL KHABIA,,"4,820",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522902041.jpg
Paprika,EL KHABIA,Le sachet de 80g,"5,820",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522923091.jpg
Épices sumac moulu,DURRA,La bouteille de 175g,"15,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6251136023904.jpg
Mélasse de grenade,DURRA,La bouteille de 500ml,"15,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6251136018184.jpg
Préparation pour Falafel,DURRA,Le paquet de 350g,"14,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6251136006945.jpg
Thym vert,DURRA,Le sachet de 400g,"14,540",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/2/6251136006990.jpg
Sésame Pops,KARTAGO,La barquette de 250g,"5,220",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191309700099_2.jpg
Corinadre,,Au Kg,"0,590",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2056835000003-1_2.jpg
Mélange d'épices pour pain,,Au Kg,"18,390",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2825831000000-1.jpg
Mélange d'épices pour poulet,,Au Kg,"12,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828128000000.jpg
Sorgho moulu naturel,,Au Kg,"10,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2816090000000.jpg
Laurier moulu,,Au Kg,"14,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811163000000.jpg
Graines de gingembre,,Au Kg,"26,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2812862000000.jpg
Camomille,,Au Kg,"33,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800489000000.jpg
Cardamome,,Au Kg,"120,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822712000000.jpg
Romarin,,Au Kg,"7,100",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828221000000.jpg
Basilic,,Au Kg,"18,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828161000000.jpg
Grain de carvi,,Au Kg,"9,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2812852000000.jpg
Thym,,Au Kg,"7,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800548000000.jpg
Safran,,Au Kg,"136,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2812855000000.jpg
Bouton de rose,,Au Kg,"24,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828118000000.jpg
Menthe sechée,,Au poids à partir de 100g,"24,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828157000000_menthe_sech_e.jpg
Oignon en poudre,,Au Kg,"23,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824769000000.jpg
Cumin en grain,,Au Kg,"19,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/28128400000_1.jpg
Graines de nigelle,,Au Kg,"13,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2812854000000.jpg
Mélange de couscous extra,,Au Kg,"21,950",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824832000000.jpg
Graine de coriandre,,Au Kg,"8,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2812853000000.jpg
Romarin moulu,,Au Kg,"7,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811164000000.jpg
Verveine,,Au Kg,"33,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828171000000.jpg
Thym moulu,,Au Kg,"8,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822709000000.jpg
Clou de girofle,,Au Kg,"75,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828137000000.jpg
Cannelle moulue,,Au Kg,"32,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828140000000.jpg
Bâtons de cannelle de 6cm,,Les bâtons de 6cm,"36,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828018000000.jpg
Graines de fenouil,,Au Kg,"12,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2812861000000.jpg
Coriandre moulue,,Au Kg,"8,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828143000000.jpg
Poivre noir en grains,,Au Kg,"30,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828154000000.jpg
Graine de lin,,Au Kg,"9,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2823348000000.jpg
Graines de sésame doré,,Au Kg,"16,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800566000000.jpg
Poivre noir moulu,,Au Kg,"19,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828987000000.jpg
"Corète ""Mloukhia""",,Au Kg,"9,100",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828149000000.jpg
Cumin moulu,EL DHAWAKA,La boite de 100g,"5,290",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194023505735_1.jpg
Mélange curry indien,,Au Kg,"18,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811193000000.jpg
Piment moyen,,Au Kg,"11,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822702000000_1.jpg
Deux épices,,Au Kg,"7,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822703000000.jpg
Piment fort moulu,,Au Kg,"11,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828152000000.jpg
Gingembre moulu,,Au Kg,"25,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828148000000.jpg
Cumin moulu,,Au Kg,"19,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828144000000.jpg
Mélange épices pour couscous,,Au Kg,"9,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811192000000.jpg
Carvi moulu,,Au Kg,"11,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828141000000.jpg
Curcuma moulu,,Au Kg,"10,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828145000000.jpg
Piment doux moulu,,Au Kg,"11,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828151000000.jpg
Paprika,,Au Kg,"11,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2822932000000.jpg
Cumin,EL KHABIA,La boite de 100g,"6,040",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522923695.jpg
Curcumin,,Le sachet de 250g,"5,880",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522905486.jpg
Mélange de 2 épices,EL KHABIA,Le sachet de 250g,"5,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522905431.jpg
Poivre noir moulu,EL KHABIA,Le sachet de 50g,"4,040",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522905981.jpg
Poivre noir moulu,EL DHAWAKA,La boite de 80g,"5,640",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194023505667.jpg
Bicarbonate de soude,DR.OETKER,Le sachet de 200g,"2,450",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191402804038.jpg
Corète,EL KHABIA,Le sachet de 250g,"4,320",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522905455_1.jpg
Curcumin moulu,EL DHAWAKA,La boite de 100g,"3,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194023505681.jpg
Sel rose fin de l'Himalaya,REINE DES GRAINES,La paquet de 200g,"15,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191446709757-1.jpg
Corrette 100g,EL KHABIA,Le sachet de 100g,"2,410",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522902188-1.jpg
Thym moulu,EL KHABIA,Le sachet de 50g,"2,250",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522921592-1.jpg
Herbes de provence,EL KHABIA,Le sachet de 70g,"2,150",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522904229-1.jpg
Romarin,El KHABIA,Le sachet de 50g,"1,840",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522904526-1.jpg
Basilic,El KHABIA,Le sachet de 30g,"1,710",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522904304-1.jpg
Fenouil,AL KHABIA,Le sachet de 100g,"2,740",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522902539-1.jpg
Thym séché,TANIT LE JARDIN,Le sachet de 40g,"2,060",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191454000587-1.jpg
Romarin,TANIT LE JARDIN,Le sachet de 40g,"1,960",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191454000600-1.jpg
Laurier,TANIT LE JARDIN,Le sachet de 10g,"1,980",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191454000570-1.jpg
Cannelle,TANIT LE JARDIN,Le sachet de 40g,"4,820",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191454000594-1.jpg
Menthe séchée,SOLE MIO,Le sachet de 60g,"4,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2022220031136-1.jpg
Coriandre bio,EL FIRMA BIO,Le paquet de 100g,"2,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191455700837_-1.jpg
Sorgho moulu,EL DHAWAKA,Le paquet de 500g,"6,690",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194023500532.jpg
Sel de source minérale,BIOSEL,Le paquet de 350g,"4,220",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191587400087_2.jpg
Mélange de 5 baies entières,DUCROS,Le bocal de 24g,"10,390",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/3/1/3166298907029-1.jpg
Chapelure fine pour poisson,LACHAPE,Le paquet de 200g,"3,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194001681543-1.jpg
Verveine,El KHABIA,Le sachet de 10g,"1,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522905165-1.jpg
Thym,El KHABIA,Le sachet de 50g,"1,940",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522904502-1.jpg
Origan,EL KHABIA,Le sachet de 50g,"2,580",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191522904328-1.jpg
Bicarbonate de soude,LA PÂTISSIÈRE,Les 5 sachets de 10g,"0,590",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194003050217-1_1.jpg
Bicarbonate de soude,LA PÂTISSIÈRE,Le paquet de 10 sachets de 10g,"1,070",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194003050101-1_2.jpg
Fleur de sel,LE FLAMANT,200g,"13,220",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6192003306068.jpg
