Product Name,Product Lable,Product Discription,Product Price,Product Image Link
BOGA mojito,BOGA,La bouteille de 1L,"2,320",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019602363.jpg
FANTA pomme,FANTA,La bouteille de 1L,"2,320",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/5/4/5449000037947.jpg
PUNCH lime,PUNCH,La bouteille de 0.3L,"1,100",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534803053.jpg
SCHWEPPES citron,SCHWEPPES,La bouteille de 0.5L,"1,690",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/4/0/40822747.jpg
ORANGINA jaune,ORANGINA,La bouteille de 0.8L,"2,320",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191525200274.jpg
ORANGINA jaune,ORANGINA,La bouteille de 0.4L,"1,380",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191525200281.jpg
ORANGINA,ORANGINA,La bouteille de 1.2L,"2,970",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191525200267.jpg
FANTA pomme,FANTA,La canette de 24cl,"1,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/5/4/5449000299666.jpg
FANTA citron,FANTA,La canette de 24cl,"0,980",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/5/4/5449000303592_1.jpg
FANTA orange,FANTA,La bouteille de 30cl,"1,020",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/9/0/90377235.jpg
BOGA pêche abricot,BOGA,La bouteille de 30cl,"1,150",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019608341.jpg
BOGA Mojito,BOGA,La bouteille de 30cl,"1,150",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019608273.jpg
BOGA fruits rouges,BOGA,La bouteille de 30cl,"1,150",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019608358.jpg
BOGA cidre,BOGA,La bouteille de 1L,"2,150",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194005660278.jpg
BOGA cidre,BOGA,La bouteille de 30cl,"1,120",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019608181.jpg
APLA pomme,APLA,La bouteille de 1.5L,"2,620",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019605289.jpg
PUNCH ananas,PUNCH,La bouteille de 30cl,"1,090",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534803282.jpg
ORANGINA,ORANGINA,La canette de 24cl,"1,380",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191525200250.jpg
PUNCH lime,PUNCH,La bouteille de 1L,"2,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534803077.jpg
PUNCH citron,PUNCH,La bouteille de 1L,"2,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534802339.jpg
BOGA sans sucre,BOGA,La bouteille de 30cl,"1,050",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019608334.jpg
BOGA lim sans sucre,BOGA,La bouteille de 1L,"2,160",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019608310.jpg
BOGA lim sans sucre,BOGA,La canette de 24cl,"0,980",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019602448-1.jpg
Boga menthe,BOGA,La canette de 24cl,"0,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194019602431.jpg
Punch lime,PUNCH,La bouteille de 1.5L,"2,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534803084.jpg
PUNCH citron,PUNCH,La bouteille de 1.5L,"2,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534802278-1.jpg
PUNCH ananas,PUNCH,La bouteille de 1.5L,"2,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191534803312-1.jpg
VIVA pêche,VIVA,La bouteille de 1L,"2,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194007891090-1_1.jpg
VIVA citron,VIVA,La bouteille de 1L,"2,300",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6194007840050-1.jpg
COCA COLA zéro,COCA COLA,La canette de 24cl,"0,980",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/5/4/544900066581-1_1.jpg
